"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","search6",,,,"User:","a57816"
"Cmdline:","dstat -tvfnml --output __.csv",,,,"Date:","22 Feb 2016 19:55:37 WET"

"system","procs",,,"memory usage",,,,"paging",,"dsk/sda",,"system",,"cpu0 usage",,,,,,"net/eth0",,"net/eth1",,"memory usage",,,,"load avg",,
22-02 19:57:03,2.0,0.0,0.0,1285771264.0,20684800.0,2109419520.0,738795520.0,0.0,0.0,0.0,20480.0,2090.0,3125.0,3.125,0.0,92.708,3.125,0.0,1.042,4527.0,14506.0,961498.0,30906.0,1285771264.0,20684800.0,2109419520.0,738795520.0,0.100,0.300,0.410
22-02 19:57:04,2.0,0.0,1.0,1285738496.0,20684800.0,2110341120.0,737906688.0,0.0,0.0,0.0,0.0,2108.0,3297.0,3.125,1.042,94.792,0.0,1.042,0.0,15513.0,21092.0,969728.0,28674.0,1285738496.0,20684800.0,2110341120.0,737906688.0,0.100,0.300,0.410
22-02 19:57:05,1.0,0.0,0.0,1285836800.0,20684800.0,2111258624.0,736890880.0,0.0,0.0,0.0,0.0,2088.0,3171.0,2.105,2.105,95.789,0.0,0.0,0.0,22630.0,33890.0,947522.0,28882.0,1285836800.0,20684800.0,2111258624.0,736890880.0,0.100,0.300,0.410
22-02 19:57:06,1.0,0.0,0.0,1286012928.0,20684800.0,2112098304.0,735875072.0,0.0,0.0,0.0,0.0,2219.0,7172.0,13.402,13.402,70.103,0.0,1.031,2.062,2333.0,7872.0,941902.0,29482.0,1286012928.0,20684800.0,2112098304.0,735875072.0,0.100,0.300,0.410
22-02 19:57:07,1.0,0.0,0.0,1285939200.0,20692992.0,2113052672.0,734986240.0,0.0,0.0,0.0,32768.0,2154.0,3246.0,3.125,1.042,91.667,3.125,0.0,1.042,10683.0,22553.0,965146.0,30092.0,1285939200.0,20692992.0,2113052672.0,734986240.0,0.090,0.300,0.400
22-02 19:57:08,0.0,0.0,0.0,1285902336.0,20692992.0,2113978368.0,734097408.0,0.0,0.0,0.0,0.0,2335.0,3399.0,3.125,2.083,93.750,1.042,0.0,0.0,29641.0,45972.0,945196.0,27928.0,1285902336.0,20692992.0,2113978368.0,734097408.0,0.090,0.300,0.400
22-02 19:57:09,0.0,0.0,0.0,1285906432.0,20692992.0,2114863104.0,733208576.0,0.0,0.0,0.0,405504.0,2097.0,3179.0,3.158,0.0,95.789,0.0,0.0,1.053,36469.0,19278.0,919340.0,27486.0,1285906432.0,20692992.0,2114863104.0,733208576.0,0.090,0.300,0.400
22-02 19:57:10,1.0,0.0,3.0,1287049216.0,20692992.0,2116141056.0,730787840.0,0.0,0.0,475136.0,0.0,2122.0,3105.0,4.167,2.083,91.667,1.042,1.042,0.0,6488.0,11140.0,906328.0,29214.0,1287049216.0,20692992.0,2116141056.0,730787840.0,0.090,0.300,0.400
22-02 19:57:11,1.0,0.0,0.0,1287077888.0,20692992.0,2117001216.0,729899008.0,0.0,0.0,0.0,0.0,2041.0,3069.0,3.093,1.031,94.845,0.0,0.0,1.031,2692.0,3587.0,925116.0,28714.0,1287077888.0,20692992.0,2117001216.0,729899008.0,0.090,0.300,0.400
22-02 19:57:12,1.0,0.0,1.0,1287901184.0,20692992.0,2117963776.0,728113152.0,0.0,0.0,0.0,0.0,2231.0,3363.0,3.158,2.105,93.684,0.0,0.0,1.053,35568.0,20529.0,963158.0,29846.0,1287901184.0,20692992.0,2117963776.0,728113152.0,0.080,0.290,0.400
22-02 19:57:13,1.0,0.0,1.0,1288032256.0,20692992.0,2118848512.0,727097344.0,0.0,0.0,0.0,0.0,2068.0,3120.0,3.125,1.042,94.792,0.0,1.042,0.0,5985.0,3905.0,928636.0,29574.0,1288032256.0,20692992.0,2118848512.0,727097344.0,0.080,0.290,0.400
22-02 19:57:14,1.0,0.0,0.0,1288003584.0,20692992.0,2119766016.0,726208512.0,0.0,0.0,0.0,0.0,2074.0,3149.0,3.125,2.083,94.792,0.0,0.0,0.0,2203.0,3936.0,954468.0,29942.0,1288003584.0,20692992.0,2119766016.0,726208512.0,0.080,0.290,0.400
22-02 19:57:15,1.0,0.0,2.0,1288175616.0,20709376.0,2120593408.0,725192704.0,0.0,0.0,0.0,45056.0,2185.0,3105.0,12.632,3.158,77.895,6.316,0.0,0.0,2970.0,6104.0,930096.0,82691.0,1288175616.0,20709376.0,2120593408.0,725192704.0,0.080,0.290,0.400
22-02 19:57:16,1.0,0.0,0.0,1288241152.0,20709376.0,2121416704.0,724303872.0,0.0,0.0,0.0,0.0,1958.0,3013.0,2.083,2.083,95.833,0.0,0.0,0.0,26513.0,5899.0,846263.0,26134.0,1288241152.0,20709376.0,2121416704.0,724303872.0,0.080,0.290,0.400
22-02 19:57:17,2.0,0.0,2.0,1290358784.0,20709376.0,2122235904.0,721367040.0,0.0,0.0,20480.0,0.0,2010.0,3049.0,2.105,3.158,93.684,0.0,0.0,1.053,26805.0,6653.0,878380.0,26600.0,1290358784.0,20709376.0,2122235904.0,721367040.0,0.160,0.300,0.400
22-02 19:57:18,0.0,0.0,0.0,1290473472.0,20709376.0,2123137024.0,720351232.0,0.0,0.0,0.0,0.0,2044.0,3141.0,3.158,0.0,96.842,0.0,0.0,0.0,1940.0,14116.0,957990.0,29462.0,1290473472.0,20709376.0,2123137024.0,720351232.0,0.160,0.300,0.400
22-02 19:57:19,1.0,0.0,0.0,1290399744.0,20709376.0,2123972608.0,719589376.0,0.0,0.0,0.0,16384.0,2013.0,3056.0,3.093,1.031,94.845,0.0,1.031,0.0,7134.0,16947.0,868304.0,27584.0,1290399744.0,20709376.0,2123972608.0,719589376.0,0.160,0.300,0.400
22-02 19:57:20,1.0,0.0,1.0,1290481664.0,20717568.0,2124898304.0,718573568.0,0.0,0.0,0.0,86016.0,2108.0,7258.0,5.263,9.474,77.895,5.263,0.0,2.105,31394.0,18464.0,928378.0,28694.0,1290481664.0,20717568.0,2124898304.0,718573568.0,0.160,0.300,0.400
22-02 19:57:21,1.0,0.0,0.0,1290510336.0,20717568.0,2125758464.0,717684736.0,0.0,0.0,0.0,0.0,2154.0,3050.0,9.278,6.186,84.536,0.0,0.0,0.0,15459.0,19005.0,880814.0,28956.0,1290510336.0,20717568.0,2125758464.0,717684736.0,0.160,0.300,0.400
22-02 19:57:22,1.0,0.0,2.0,1290592256.0,20717568.0,2126565376.0,716795904.0,0.0,0.0,0.0,0.0,2036.0,3110.0,2.105,2.105,95.789,0.0,0.0,0.0,18230.0,12030.0,886386.0,27174.0,1290592256.0,20717568.0,2126565376.0,716795904.0,0.140,0.300,0.400
22-02 19:57:23,1.0,0.0,0.0,1289789440.0,20717568.0,2127495168.0,716668928.0,0.0,0.0,0.0,0.0,2013.0,3195.0,3.093,2.062,93.814,0.0,0.0,1.031,17397.0,2016.0,935766.0,26252.0,1289789440.0,20717568.0,2127495168.0,716668928.0,0.140,0.300,0.400
22-02 19:57:24,0.0,0.0,1.0,1289424896.0,20717568.0,2128359424.0,716169216.0,0.0,0.0,0.0,0.0,2115.0,3099.0,3.158,2.105,94.737,0.0,0.0,0.0,23282.0,20794.0,946924.0,31686.0,1289424896.0,20717568.0,2128359424.0,716169216.0,0.140,0.300,0.400
22-02 19:57:25,1.0,0.0,1.0,1289379840.0,20717568.0,2129293312.0,715280384.0,0.0,0.0,0.0,0.0,2109.0,3152.0,3.125,1.042,94.792,0.0,0.0,1.042,5924.0,7587.0,962626.0,31614.0,1289379840.0,20717568.0,2129293312.0,715280384.0,0.140,0.300,0.400
22-02 19:57:26,0.0,0.0,1.0,1289474048.0,20717568.0,2130214912.0,714264576.0,0.0,0.0,0.0,0.0,2076.0,3210.0,8.333,3.125,88.542,0.0,0.0,0.0,5368.0,4623.0,955489.0,40300.0,1289474048.0,20717568.0,2130214912.0,714264576.0,0.140,0.300,0.400
22-02 19:57:27,0.0,0.0,84.0,1289539584.0,20717568.0,2131165184.0,713248768.0,0.0,0.0,0.0,0.0,2161.0,3386.0,4.167,6.250,87.500,0.0,1.042,1.042,10105.0,6046.0,990406.0,29568.0,1289539584.0,20717568.0,2131165184.0,713248768.0,0.130,0.290,0.400
22-02 19:57:28,1.0,0.0,0.0,1288192000.0,20717568.0,2132004864.0,713756672.0,0.0,0.0,0.0,0.0,3463.0,3258.0,4.301,3.226,91.398,0.0,0.0,1.075,104698.0,27736608.0,931240.0,29324.0,1288192000.0,20717568.0,2132004864.0,713756672.0,0.130,0.290,0.400
22-02 19:57:29,1.0,0.0,0.0,1288167424.0,20717568.0,2133045248.0,712740864.0,0.0,0.0,0.0,0.0,2067.0,3128.0,4.211,2.105,93.684,0.0,0.0,0.0,16118.0,7826.0,949010.0,27624.0,1288167424.0,20717568.0,2133045248.0,712740864.0,0.130,0.290,0.400
22-02 19:57:30,2.0,0.0,0.0,1288192000.0,20717568.0,2133909504.0,711852032.0,0.0,0.0,0.0,0.0,1917.0,2963.0,3.125,1.042,95.833,0.0,0.0,0.0,5120.0,6834.0,841482.0,26042.0,1288192000.0,20717568.0,2133909504.0,711852032.0,0.130,0.290,0.400
22-02 19:57:31,1.0,0.0,0.0,1288163328.0,20725760.0,2134818816.0,710963200.0,0.0,0.0,0.0,16384.0,1990.0,3111.0,2.105,0.0,93.684,4.211,0.0,0.0,1533.0,7782.0,925666.0,27330.0,1288163328.0,20725760.0,2134818816.0,710963200.0,0.130,0.290,0.400
22-02 19:57:32,1.0,0.0,0.0,1288208384.0,20725760.0,2135662592.0,710074368.0,0.0,0.0,0.0,0.0,2115.0,3167.0,3.093,1.031,93.814,0.0,1.031,1.031,13778.0,19189.0,920997.0,30520.0,1288208384.0,20725760.0,2135662592.0,710074368.0,0.120,0.290,0.400
22-02 19:57:33,1.0,0.0,2.0,1288294400.0,20725760.0,2136473600.0,709177344.0,0.0,0.0,0.0,0.0,2063.0,3085.0,3.125,2.083,94.792,0.0,0.0,0.0,4493.0,36575.0,855708.0,29988.0,1288294400.0,20725760.0,2136473600.0,709177344.0,0.120,0.290,0.400
22-02 19:57:34,1.0,0.0,0.0,1288019968.0,20725760.0,2137374720.0,708550656.0,0.0,0.0,0.0,65536.0,2061.0,3202.0,2.105,1.053,95.789,0.0,0.0,1.053,6212.0,1194.0,899406.0,29896.0,1288019968.0,20725760.0,2137374720.0,708550656.0,0.120,0.290,0.400
22-02 19:57:35,1.0,0.0,0.0,1287471104.0,20733952.0,2138296320.0,708169728.0,0.0,0.0,0.0,49152.0,2195.0,7064.0,4.255,6.383,84.043,3.191,0.0,2.128,23330.0,20244.0,1014020.0,43088.0,1287471104.0,20733952.0,2138296320.0,708169728.0,0.120,0.290,0.400
22-02 19:57:36,2.0,0.0,0.0,1287176192.0,20733952.0,2139217920.0,707543040.0,0.0,0.0,0.0,0.0,2195.0,3147.0,10.417,8.333,81.250,0.0,0.0,0.0,3825.0,11473.0,965408.0,28820.0,1287176192.0,20733952.0,2139217920.0,707543040.0,0.120,0.290,0.400
22-02 19:57:37,1.0,0.0,0.0,1287213056.0,20733952.0,2140069888.0,706654208.0,0.0,0.0,0.0,0.0,2043.0,3072.0,3.093,1.031,93.814,1.031,0.0,1.031,23532.0,12529.0,891070.0,30886.0,1287213056.0,20733952.0,2140069888.0,706654208.0,0.110,0.280,0.390
22-02 19:57:38,1.0,0.0,0.0,1287196672.0,20733952.0,2140975104.0,705765376.0,0.0,0.0,0.0,0.0,2101.0,3269.0,2.128,1.064,96.809,0.0,0.0,0.0,17458.0,42504.0,959026.0,29280.0,1287196672.0,20733952.0,2140975104.0,705765376.0,0.110,0.280,0.390
22-02 19:57:39,1.0,0.0,0.0,1287184384.0,20742144.0,2141868032.0,704876544.0,0.0,0.0,0.0,16384.0,2015.0,3085.0,3.158,1.053,92.632,3.158,0.0,0.0,2774.0,3626.0,921778.0,28388.0,1287184384.0,20742144.0,2141868032.0,704876544.0,0.110,0.280,0.390
22-02 19:57:40,1.0,0.0,0.0,1287155712.0,20742144.0,2142785536.0,703987712.0,0.0,0.0,0.0,200704.0,2058.0,3133.0,3.191,0.0,96.809,0.0,0.0,0.0,5999.0,9963.0,940542.0,29082.0,1287155712.0,20742144.0,2142785536.0,703987712.0,0.110,0.280,0.390
22-02 19:57:41,1.0,0.0,2.0,1289125888.0,20742144.0,2143625216.0,701177856.0,0.0,0.0,0.0,0.0,2237.0,3208.0,10.101,5.051,82.828,0.0,1.010,1.010,23476.0,19894.0,950084.0,39137.0,1289125888.0,20742144.0,2143625216.0,701177856.0,0.110,0.280,0.390
22-02 19:57:42,2.0,0.0,0.0,1288945664.0,20742144.0,2144559104.0,700424192.0,0.0,0.0,0.0,0.0,1966.0,3062.0,3.125,0.0,94.792,1.042,0.0,1.042,14296.0,7112.0,916402.0,26166.0,1288945664.0,20742144.0,2144559104.0,700424192.0,0.100,0.280,0.390
22-02 19:57:43,2.0,0.0,0.0,1288949760.0,20742144.0,2145443840.0,699535360.0,0.0,0.0,0.0,0.0,2038.0,3136.0,3.125,1.042,95.833,0.0,0.0,0.0,14681.0,8481.0,959072.0,27596.0,1288949760.0,20742144.0,2145443840.0,699535360.0,0.100,0.280,0.390
22-02 19:57:44,1.0,0.0,0.0,1288966144.0,20742144.0,2146316288.0,698646528.0,0.0,0.0,0.0,0.0,2046.0,3129.0,2.128,1.064,96.809,0.0,0.0,0.0,11073.0,10038.0,953000.0,27456.0,1288966144.0,20742144.0,2146316288.0,698646528.0,0.100,0.280,0.390
22-02 19:57:45,1.0,0.0,0.0,1287290880.0,20758528.0,2147205120.0,699416576.0,0.0,0.0,0.0,40960.0,2075.0,3127.0,4.124,1.031,88.660,4.124,1.031,1.031,47072.0,26826.0,919172.0,28258.0,1287290880.0,20758528.0,2147205120.0,699416576.0,0.100,0.280,0.390
22-02 19:57:46,1.0,0.0,0.0,1287249920.0,20758528.0,2148134912.0,698527744.0,0.0,0.0,0.0,0.0,2081.0,3166.0,2.105,2.105,95.789,0.0,0.0,0.0,23097.0,3815.0,951063.0,28348.0,1287249920.0,20758528.0,2148134912.0,698527744.0,0.100,0.280,0.390
22-02 19:57:47,1.0,0.0,0.0,1287225344.0,20758528.0,2148921344.0,697765888.0,0.0,0.0,0.0,0.0,1982.0,2992.0,2.105,0.0,96.842,0.0,0.0,1.053,1976.0,2404.0,867912.0,28366.0,1287225344.0,20758528.0,2148921344.0,697765888.0,0.090,0.270,0.390
22-02 19:57:48,1.0,0.0,1.0,1288683520.0,20758528.0,2149883904.0,695345152.0,0.0,0.0,0.0,0.0,2189.0,3268.0,6.250,2.083,91.667,0.0,0.0,0.0,12049.0,17918.0,933262.0,29896.0,1288683520.0,20758528.0,2149883904.0,695345152.0,0.090,0.270,0.390
22-02 19:57:49,1.0,0.0,0.0,1288683520.0,20758528.0,2150772736.0,694456320.0,0.0,0.0,0.0,4096.0,2045.0,3063.0,3.125,1.042,95.833,0.0,0.0,0.0,5718.0,3880.0,932968.0,30192.0,1288683520.0,20758528.0,2150772736.0,694456320.0,0.090,0.270,0.390
22-02 19:57:50,0.0,0.0,0.0,1288687616.0,20758528.0,2151657472.0,693567488.0,0.0,0.0,0.0,4096.0,1981.0,3145.0,2.105,2.105,95.789,0.0,0.0,0.0,17354.0,4320.0,920426.0,25516.0,1288687616.0,20758528.0,2151657472.0,693567488.0,0.090,0.270,0.390
22-02 19:57:51,1.0,0.0,0.0,1287512064.0,20758528.0,2152570880.0,693829632.0,0.0,0.0,0.0,0.0,2275.0,7358.0,12.245,13.265,70.408,0.0,1.020,3.061,6323.0,25150.0,966310.0,30620.0,1287512064.0,20758528.0,2152570880.0,693829632.0,0.090,0.270,0.390
22-02 19:57:52,1.0,0.0,0.0,1286213632.0,20758528.0,2153361408.0,694337536.0,0.0,0.0,0.0,0.0,2103.0,3221.0,3.158,1.053,95.789,0.0,0.0,0.0,11145.0,49535.0,926202.0,28250.0,1286213632.0,20758528.0,2153361408.0,694337536.0,0.090,0.270,0.390
22-02 19:57:53,0.0,0.0,1.0,1285939200.0,20766720.0,2154262528.0,693702656.0,0.0,0.0,0.0,28672.0,2020.0,3074.0,3.093,1.031,92.784,2.062,0.0,1.031,2803.0,14454.0,933468.0,27902.0,1285939200.0,20766720.0,2154262528.0,693702656.0,0.090,0.270,0.390
22-02 19:57:54,2.0,0.0,0.0,1285971968.0,20766720.0,2155118592.0,692813824.0,0.0,0.0,0.0,0.0,2074.0,3090.0,2.128,1.064,96.809,0.0,0.0,0.0,4276.0,16984.0,926466.0,28924.0,1285971968.0,20766720.0,2155118592.0,692813824.0,0.090,0.270,0.390
22-02 19:57:55,1.0,0.0,1.0,1286053888.0,20766720.0,2156052480.0,691798016.0,0.0,0.0,0.0,0.0,2033.0,3114.0,3.061,2.041,92.857,1.020,0.0,1.020,35413.0,27884.0,905026.0,26830.0,1286053888.0,20766720.0,2156052480.0,691798016.0,0.090,0.270,0.390
22-02 19:57:56,2.0,0.0,0.0,1285976064.0,20766720.0,2156892160.0,691036160.0,0.0,0.0,0.0,0.0,2045.0,3141.0,3.125,0.0,95.833,0.0,1.042,0.0,2230.0,14119.0,923918.0,27644.0,1285976064.0,20766720.0,2156892160.0,691036160.0,0.090,0.270,0.390
22-02 19:57:57,0.0,0.0,2.0,1287311360.0,20766720.0,2157850624.0,688742400.0,0.0,0.0,8192.0,0.0,2232.0,3278.0,5.263,3.158,91.579,0.0,0.0,0.0,29114.0,27417.0,938090.0,35762.0,1287311360.0,20766720.0,2157850624.0,688742400.0,0.080,0.260,0.380
22-02 19:57:58,1.0,0.0,1.0,1287995392.0,20766720.0,2158690304.0,687218688.0,0.0,0.0,0.0,0.0,2108.0,3120.0,5.155,5.155,88.660,0.0,0.0,1.031,5666.0,2273.0,965957.0,33171.0,1287995392.0,20766720.0,2158690304.0,687218688.0,0.080,0.260,0.380
22-02 19:57:59,1.0,0.0,0.0,1287938048.0,20766720.0,2159636480.0,686329856.0,0.0,0.0,0.0,0.0,2014.0,3112.0,2.105,1.053,96.842,0.0,0.0,0.0,1866.0,2498.0,928304.0,27890.0,1287938048.0,20766720.0,2159636480.0,686329856.0,0.080,0.260,0.380
22-02 19:58:00,0.0,0.0,0.0,1287913472.0,20766720.0,2160676864.0,685314048.0,0.0,0.0,0.0,0.0,1974.0,3018.0,4.211,1.053,94.737,0.0,0.0,0.0,1959.0,3707.0,885316.0,26480.0,1287913472.0,20766720.0,2160676864.0,685314048.0,0.080,0.260,0.380
22-02 19:58:01,1.0,0.0,0.0,1287888896.0,20766720.0,2161463296.0,684552192.0,0.0,0.0,0.0,0.0,1949.0,2969.0,3.158,0.0,96.842,0.0,0.0,0.0,1388.0,3702.0,879016.0,26920.0,1287888896.0,20766720.0,2161463296.0,684552192.0,0.080,0.260,0.380
22-02 19:58:02,1.0,0.0,0.0,1287925760.0,20766720.0,2162315264.0,683663360.0,0.0,0.0,0.0,0.0,2000.0,3073.0,3.061,1.020,93.878,0.0,1.020,1.020,14221.0,5205.0,874038.0,26704.0,1287925760.0,20766720.0,2162315264.0,683663360.0,0.070,0.260,0.380
22-02 19:58:03,0.0,0.0,0.0,1287946240.0,20774912.0,2163175424.0,682774528.0,0.0,0.0,0.0,24576.0,3361.0,3132.0,2.222,2.222,93.333,2.222,0.0,0.0,100296.0,32095568.0,851847.0,24502.0,1287946240.0,20774912.0,2163175424.0,682774528.0,0.070,0.260,0.380
22-02 19:58:04,1.0,0.0,0.0,1287897088.0,20774912.0,2163986432.0,682012672.0,0.0,0.0,0.0,0.0,1980.0,3032.0,3.125,1.042,95.833,0.0,0.0,0.0,15194.0,6691.0,885336.0,26708.0,1287897088.0,20774912.0,2163986432.0,682012672.0,0.070,0.260,0.380
22-02 19:58:05,1.0,0.0,0.0,1287950336.0,20774912.0,2164822016.0,681123840.0,0.0,0.0,0.0,0.0,2146.0,6932.0,14.583,12.500,70.833,0.0,0.0,2.083,17476.0,6670.0,904066.0,27738.0,1287950336.0,20774912.0,2164822016.0,681123840.0,0.070,0.260,0.380
22-02 19:58:06,0.0,0.0,0.0,1287917568.0,20783104.0,2165735424.0,680235008.0,0.0,0.0,0.0,16384.0,2107.0,3221.0,2.083,2.083,91.667,4.167,0.0,0.0,2221.0,8037.0,982754.0,30408.0,1287917568.0,20783104.0,2165735424.0,680235008.0,0.070,0.260,0.380
22-02 19:58:07,2.0,0.0,0.0,1287905280.0,20783104.0,2166636544.0,679346176.0,0.0,0.0,0.0,0.0,1961.0,3034.0,2.105,1.053,96.842,0.0,0.0,0.0,13706.0,8260.0,880652.0,25674.0,1287905280.0,20783104.0,2166636544.0,679346176.0,0.070,0.250,0.380
22-02 19:58:08,2.0,0.0,0.0,1287909376.0,20783104.0,2167521280.0,678457344.0,0.0,0.0,0.0,0.0,2039.0,3106.0,4.124,1.031,93.814,0.0,1.031,0.0,15869.0,25990.0,920756.0,27104.0,1287909376.0,20783104.0,2167521280.0,678457344.0,0.070,0.250,0.380
22-02 19:58:09,1.0,0.0,0.0,1288011776.0,20783104.0,2168307712.0,677568512.0,0.0,0.0,0.0,24576.0,2028.0,3134.0,2.105,1.053,92.632,3.158,0.0,1.053,3051.0,18388.0,873606.0,29352.0,1288011776.0,20783104.0,2168307712.0,677568512.0,0.070,0.250,0.380
22-02 19:58:10,0.0,0.0,3.0,1288781824.0,20783104.0,2169323520.0,675782656.0,0.0,0.0,45056.0,204800.0,2185.0,3243.0,5.208,4.167,90.625,0.0,0.0,0.0,2594.0,20371.0,965750.0,43348.0,1288781824.0,20783104.0,2169323520.0,675782656.0,0.070,0.250,0.380
22-02 19:58:11,1.0,0.0,1.0,1289039872.0,20791296.0,2170208256.0,674631680.0,0.0,0.0,0.0,20480.0,2123.0,3193.0,3.125,1.042,92.708,2.083,0.0,1.042,13263.0,19132.0,931038.0,29796.0,1289039872.0,20791296.0,2170208256.0,674631680.0,0.070,0.250,0.380
22-02 19:58:12,1.0,0.0,0.0,1289011200.0,20791296.0,2171117568.0,673751040.0,0.0,0.0,0.0,0.0,2045.0,3115.0,3.158,1.053,94.737,0.0,1.053,0.0,14163.0,12623.0,972194.0,29713.0,1289011200.0,20791296.0,2171117568.0,673751040.0,0.060,0.250,0.380
22-02 19:58:13,2.0,0.0,0.0,1288949760.0,20791296.0,2172067840.0,672862208.0,0.0,0.0,0.0,0.0,2091.0,3199.0,3.125,1.042,94.792,0.0,0.0,1.042,7374.0,9355.0,991264.0,29068.0,1288949760.0,20791296.0,2172067840.0,672862208.0,0.060,0.250,0.380
22-02 19:58:14,1.0,0.0,0.0,1288953856.0,20791296.0,2172952576.0,671973376.0,0.0,0.0,0.0,0.0,2081.0,3179.0,3.125,1.042,95.833,0.0,0.0,0.0,3271.0,5906.0,982364.0,29208.0,1288953856.0,20791296.0,2172952576.0,671973376.0,0.060,0.250,0.380
22-02 19:58:15,0.0,0.0,0.0,1289048064.0,20799488.0,2173865984.0,670957568.0,0.0,0.0,0.0,20480.0,2007.0,3038.0,3.158,1.053,93.684,2.105,0.0,0.0,1782.0,5828.0,897742.0,28754.0,1289048064.0,20799488.0,2173865984.0,670957568.0,0.060,0.250,0.380
22-02 19:58:16,0.0,0.0,0.0,1289064448.0,20799488.0,2174611456.0,670195712.0,0.0,0.0,0.0,0.0,1933.0,3029.0,2.083,1.042,95.833,0.0,0.0,1.042,21717.0,6244.0,822304.0,24602.0,1289064448.0,20799488.0,2174611456.0,670195712.0,0.060,0.250,0.380
22-02 19:58:17,0.0,0.0,1.0,1290235904.0,20815872.0,2175463424.0,668155904.0,0.0,0.0,0.0,77824.0,2016.0,3073.0,3.093,2.062,83.505,10.309,1.031,0.0,12945.0,7435.0,861931.0,26428.0,1290235904.0,20815872.0,2175463424.0,668155904.0,0.060,0.250,0.370
22-02 19:58:18,2.0,0.0,1.0,1291763712.0,20815872.0,2176356352.0,665735168.0,0.0,0.0,0.0,0.0,2216.0,3257.0,5.263,2.105,92.632,0.0,0.0,0.0,11590.0,21497.0,967588.0,30842.0,1291763712.0,20815872.0,2176356352.0,665735168.0,0.060,0.250,0.370
22-02 19:58:19,1.0,0.0,0.0,1291780096.0,20815872.0,2177228800.0,664846336.0,0.0,0.0,0.0,0.0,2007.0,3094.0,3.093,1.031,94.845,0.0,0.0,1.031,2310.0,8538.0,923204.0,27518.0,1291780096.0,20815872.0,2177228800.0,664846336.0,0.060,0.250,0.370
22-02 19:58:20,2.0,0.0,0.0,1291874304.0,20815872.0,2178150400.0,663830528.0,0.0,0.0,36864.0,0.0,2218.0,6972.0,12.500,12.500,68.750,3.125,1.042,2.083,1990.0,9084.0,921572.0,31313.0,1291874304.0,20815872.0,2178150400.0,663830528.0,0.060,0.250,0.370
22-02 19:58:21,0.0,1.0,1.0,1300705280.0,20824064.0,2183081984.0,650059776.0,0.0,0.0,4001792.0,0.0,2319.0,3384.0,8.333,5.208,45.833,40.625,0.0,0.0,10431.0,6261.0,893780.0,28856.0,1300705280.0,20824064.0,2183081984.0,650059776.0,0.060,0.250,0.370
22-02 19:58:22,0.0,1.0,2.0,1318846464.0,21135360.0,2187255808.0,627433472.0,778240.0,0.0,4546560.0,49152.0,2629.0,3469.0,28.866,13.402,0.0,55.670,1.031,1.031,5682.0,2737.0,937129.0,49504.0,1318846464.0,21135360.0,2187255808.0,627433472.0,0.210,0.270,0.380
22-02 19:58:23,1.0,0.0,0.0,1324240896.0,21135360.0,2193424384.0,615870464.0,552960.0,0.0,5939200.0,0.0,2592.0,3804.0,27.368,7.368,3.158,61.053,0.0,1.053,9890.0,2742.0,951030.0,57860.0,1324240896.0,21135360.0,2193424384.0,615870464.0,0.210,0.270,0.380
22-02 19:58:24,0.0,0.0,0.0,1324306432.0,21135360.0,2194366464.0,614862848.0,0.0,0.0,0.0,0.0,2168.0,3223.0,2.083,2.083,94.792,0.0,0.0,1.042,26058.0,34610.0,952018.0,30084.0,1324306432.0,21135360.0,2194366464.0,614862848.0,0.210,0.270,0.380
22-02 19:58:25,1.0,0.0,1.0,1322950656.0,21135360.0,2195206144.0,615378944.0,0.0,0.0,0.0,0.0,2094.0,3078.0,3.158,1.053,94.737,1.053,0.0,0.0,25185.0,23667.0,907475.0,31228.0,1322950656.0,21135360.0,2195206144.0,615378944.0,0.210,0.270,0.380
22-02 19:58:26,1.0,0.0,7.0,1325297664.0,21426176.0,2196766720.0,611180544.0,0.0,0.0,921600.0,0.0,2690.0,3347.0,36.364,24.242,26.263,11.111,1.010,1.010,3184.0,12232.0,997214.0,132377.0,1325297664.0,21426176.0,2196766720.0,611180544.0,0.210,0.270,0.380
22-02 19:58:27,3.0,0.0,80.0,1325576192.0,21426176.0,2197782528.0,609886208.0,0.0,0.0,126976.0,73728.0,3039.0,3403.0,54.545,39.394,4.040,0.0,0.0,2.020,49491.0,16975.0,964803.0,244847.0,1325576192.0,21426176.0,2197782528.0,609886208.0,0.510,0.340,0.400
22-02 19:58:28,4.0,0.0,32.0,1328844800.0,21450752.0,2198704128.0,605671424.0,0.0,0.0,8192.0,110592.0,3108.0,3273.0,50.0,47.0,0.0,0.0,1.0,2.0,28818.0,16792.0,967569.0,193286.0,1328844800.0,21450752.0,2198704128.0,605671424.0,0.510,0.340,0.400
22-02 19:58:29,2.0,0.0,11.0,1326841856.0,21450752.0,2199769088.0,606609408.0,0.0,0.0,0.0,0.0,2885.0,3306.0,44.898,34.694,19.388,0.0,0.0,1.020,4783.0,25554.0,958886.0,204478.0,1326841856.0,21450752.0,2199769088.0,606609408.0,0.510,0.340,0.400
22-02 19:58:30,1.0,0.0,11.0,1325965312.0,21450752.0,2200637440.0,606617600.0,0.0,0.0,0.0,0.0,2904.0,3034.0,41.0,34.0,21.0,0.0,1.0,3.0,9794.0,12400.0,902272.0,200268.0,1325965312.0,21450752.0,2200637440.0,606617600.0,0.510,0.340,0.400
